,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
0,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Germany,Remscheid,male,1901,physics,Munich University,Munich,Germany,
1,Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,Arnhem,male,1902,physics,Leiden University,Leiden,the Netherlands,
2,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,Zonnemaire,male,1902,physics,Amsterdam University,Amsterdam,the Netherlands,
3,Henri,Becquerel,1852-12-15,1908-08-25,France,Paris,male,1903,physics,École Polytechnique,Paris,France,
4,Pierre,Curie,1859-05-15,1906-04-19,France,Paris,male,1903,physics,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,
5,Marie,Curie,1867-11-07,1934-07-04,Poland,Warsaw,female,1903,physics,,,,
6,Marie,Curie,1867-11-07,1934-07-04,Poland,Warsaw,female,1911,chemistry,Sorbonne University,Paris,France,
7,Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,Langford Grove Maldon Essex,male,1904,physics,Royal Institution of Great Britain,London,United Kingdom,
8,Philipp,Lenard,1862-06-07,1947-05-20,Slovakia,Bratislava,male,1905,physics,Kiel University,Kiel,Germany,
9,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,Cheetham Hill,male,1906,physics,University of Cambridge,Cambridge,United Kingdom,
10,Albert A.,Michelson,1852-12-19,1931-05-09,Poland,Strzelno,male,1907,physics,University of Chicago,Chicago IL,USA,
11,Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,Hollerich,male,1908,physics,Sorbonne University,Paris,France,
12,Guglielmo,Marconi,1874-04-25,1937-07-20,Italy,Bologna,male,1909,physics,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,
13,Ferdinand,Braun,1850-06-06,1918-04-20,Germany,Fulda,male,1909,physics,Strasbourg University,Strasbourg,Germany (now France),
14,Johannes Diderik,van der Waals,1837-11-23,1923-03-08,the Netherlands,Leiden,male,1910,physics,Amsterdam University,Amsterdam,the Netherlands,
15,Wilhelm,Wien,1864-01-13,1928-08-30,Russia,Parusnoye,male,1911,physics,Würzburg University,Würzburg,Germany,
16,Gustaf,Dalén,1869-11-30,1937-12-09,Sweden,Stenstorp,male,1912,physics,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,
17,Heike,Kamerlingh Onnes,1853-09-21,1926-02-21,the Netherlands,Groningen,male,1913,physics,Leiden University,Leiden,the Netherlands,
18,Max,von Laue,1879-10-09,1960-04-23,Germany,Pfaffendorf,male,1914,physics,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,
19,William,Bragg,1862-07-02,1942-03-12,United Kingdom,Wigton,male,1915,physics,University College,London,United Kingdom,
20,Lawrence,Bragg,1890-03-31,1971-07-01,Australia,Adelaide,male,1915,physics,Victoria University,Manchester,United Kingdom,
21,Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,Widnes,male,1917,physics,Edinburgh University,Edinburgh,United Kingdom,
22,Max,Planck,1858-04-23,1947-10-04,Germany,Kiel,male,1918,physics,Berlin University,Berlin,Germany,
23,Johannes,Stark,1874-04-15,1957-06-21,Germany,Schickenhof,male,1919,physics,Greifswald University,Greifswald,Germany,
24,Charles Edouard,Guillaume,1861-02-15,1938-06-13,Switzerland,Fleurier,male,1920,physics,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,
25,Albert,Einstein,1879-03-14,1955-04-18,Germany,Ulm,male,1921,physics,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,
26,Niels,Bohr,1885-10-07,1962-11-18,Denmark,Copenhagen,male,1922,physics,Copenhagen University,Copenhagen,Denmark,
27,Robert A.,Millikan,1868-03-22,1953-12-19,USA,Morrison IL,male,1923,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
28,Manne,Siegbahn,1886-12-03,1978-09-26,Sweden,Örebro,male,1924,physics,Uppsala University,Uppsala,Sweden,
29,James,Franck,1882-08-26,1964-05-21,Germany,Hamburg,male,1925,physics,Goettingen University,Göttingen,Germany,
30,Gustav,Hertz,1887-07-22,1975-10-30,Germany,Hamburg,male,1925,physics,Halle University,Halle,Germany,
31,Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,Lille,male,1926,physics,Sorbonne University,Paris,France,
32,Arthur H.,Compton,1892-09-10,1962-03-15,USA,Wooster OH,male,1927,physics,University of Chicago,Chicago IL,USA,
33,C.T.R.,Wilson,1869-02-14,1959-11-15,Scotland,Glencorse,male,1927,physics,University of Cambridge,Cambridge,United Kingdom,
34,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,Dewsbury,male,1928,physics,London University,London,United Kingdom,
35,Louis,de Broglie,1892-08-15,1987-03-19,France,Dieppe,male,1929,physics,Sorbonne University Institut Henri Poincaré,Paris,France,
36,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,Tiruchirappalli,male,1930,physics,Calcutta University,Calcutta,India,Asian
37,Werner,Heisenberg,1901-12-05,1976-02-01,Germany,Würzburg,male,1932,physics,Leipzig University,Leipzig,Germany,
38,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,Vienna,male,1933,physics,Berlin University,Berlin,Germany,
39,Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,Bristol,male,1933,physics,University of Cambridge,Cambridge,United Kingdom,
40,James,Chadwick,1891-10-20,1974-07-24,United Kingdom,Manchester,male,1935,physics,Liverpool University,Liverpool,United Kingdom,
41,Victor F.,Hess,1883-06-24,1964-12-17,Austria,Peggau,male,1936,physics,Innsbruck University,Innsbruck,Austria,
42,Carl D.,Anderson,1905-09-03,1991-01-11,USA,New York NY,male,1936,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
43,Clinton,Davisson,1881-10-22,1958-02-01,USA,Bloomington IL,male,1937,physics,Bell Telephone Laboratories,New York NY,USA,
44,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,Cambridge,male,1937,physics,London University,London,United Kingdom,
45,Enrico,Fermi,1901-09-29,1954-11-28,Italy,Rome,male,1938,physics,Rome University,Rome,Italy,
46,Ernest,Lawrence,1901-08-08,1958-08-27,USA,Canton SD,male,1939,physics,University of California,Berkeley CA,USA,
47,Otto,Stern,1888-02-17,1969-08-17,Poland,Zory,male,1943,physics,Carnegie Institute of Technology,Pittsburgh PA,USA,
48,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Poland,Rymanow,male,1944,physics,Columbia University,New York NY,USA,
49,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,Vienna,male,1945,physics,Princeton University,Princeton NJ,USA,
50,Percy W.,Bridgman,1882-04-21,1961-08-20,USA,Cambridge MA,male,1946,physics,Harvard University,Cambridge MA,USA,
51,Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,Bradford,male,1947,physics,Department of Scientific and Industrial Research,London,United Kingdom,
52,Patrick M.S.,Blackett,1897-11-18,1974-07-13,United Kingdom,London,male,1948,physics,Victoria University,Manchester,United Kingdom,
53,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,Tokyo,male,1949,physics,Columbia University,New York NY,USA,Asian
54,Cecil,Powell,1903-12-05,1969-08-09,United Kingdom,Tonbridge,male,1950,physics,Bristol University,Bristol,United Kingdom,
55,John,Cockcroft,1897-05-27,1967-09-18,United Kingdom,Todmorden,male,1951,physics,Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,
56,Ernest T.S.,Walton,1903-10-06,1995-06-25,Ireland,Dungarvan,male,1951,physics,Trinity College,Dublin,Ireland,
57,Felix,Bloch,1905-10-23,1983-09-10,Switzerland,Zurich,male,1952,physics,Stanford University,Stanford CA,USA,
58,E. M.,Purcell,1912-08-30,1997-03-07,USA,Taylorville IL,male,1952,physics,Harvard University,Cambridge MA,USA,
59,Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,Amsterdam,male,1953,physics,Groningen University,Groningen,the Netherlands,
60,Max,Born,1882-12-11,1970-01-05,Poland,Wroclaw,male,1954,physics,Edinburgh University,Edinburgh,United Kingdom,
61,Walther,Bothe,1891-01-08,1957-02-08,Germany,Oranienburg,male,1954,physics,University of Heidelberg,Heidelberg,Germany,
62,Willis E.,Lamb,1913-07-12,2008-05-15,USA,Los Angeles CA,male,1955,physics,Stanford University,Stanford CA,USA,
63,Polykarp,Kusch,1911-01-26,1993-03-20,Germany,Blankenburg,male,1955,physics,Columbia University,New York NY,USA,
64,William B.,Shockley,1910-02-13,1989-08-12,United Kingdom,London,male,1956,physics,Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,
65,John,Bardeen,1908-05-23,1991-01-30,USA,Madison WI,male,1956,physics,University of Illinois,Urbana IL,USA,
66,John,Bardeen,1908-05-23,1991-01-30,USA,Madison WI,male,1972,physics,University of Illinois,Urbana IL,USA,
67,Walter H.,Brattain,1902-02-10,1987-10-13,China,Amoy,male,1956,physics,Bell Telephone Laboratories,Murray Hill NJ,USA,
68,Chen Ning,Yang,1922-09-22,0000-00-00,China,Hofei Anhwei,male,1957,physics,Institute for Advanced Study,Princeton NJ,USA,Asian
69,Tsung-Dao,Lee,1926-11-24,0000-00-00,China,Shanghai,male,1957,physics,Columbia University,New York NY,USA,Asian
70,Pavel A.,Cherenkov,1904-07-28,1990-01-06,Russia,Novaya Chigla,male,1958,physics,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),
71,Igor Y.,Tamm,1895-07-08,1971-04-12,Russia,Vladivostok,male,1958,physics,Lomonosov Moscow State University,Moscow,USSR (now Russia),
72,Emilio,Segrè,1905-02-01,1989-04-22,Italy,Tivoli,male,1959,physics,University of California,Berkeley CA,USA,
73,Owen,Chamberlain,1920-07-10,2006-02-28,USA,San Francisco CA,male,1959,physics,University of California,Berkeley CA,USA,
74,Donald A.,Glaser,1926-09-21,2013-02-28,USA,Cleveland OH,male,1960,physics,University of California,Berkeley CA,USA,
75,Robert,Hofstadter,1915-02-05,1990-11-17,USA,New York NY,male,1961,physics,Stanford University,Stanford CA,USA,
76,Rudolf,Mössbauer,1929-01-31,2011-09-14,Germany,Munich,male,1961,physics,Technical University,Munich,Germany,
77,Lev,Landau,1908-01-22,1968-04-01,Azerbaijan,Baku,male,1962,physics,Academy of Sciences,Moscow,USSR (now Russia),
78,Eugene,Wigner,1902-11-17,1995-01-01,Hungary,Budapest,male,1963,physics,Princeton University,Princeton NJ,USA,
79,Maria,Goeppert Mayer,1906-06-28,1972-02-20,Poland,Katowice,female,1963,physics,University of California,San Diego CA,USA,
80,J. Hans D.,Jensen,1907-06-25,1973-02-11,Germany,Hamburg,male,1963,physics,University of Heidelberg,Heidelberg,Germany,
81,Charles H.,Townes,1915-07-28,2015-01-27,USA,Greenville SC,male,1964,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
82,Nicolay G.,Basov,1922-12-14,2001-07-01,Russia,Usman,male,1964,physics,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),
83,Aleksandr M.,Prokhorov,1916-07-11,2002-01-08,Australia,Atherton,male,1964,physics,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),
84,Sin-Itiro,Tomonaga,1906-03-31,1979-07-08,Japan,Kyoto,male,1965,physics,Tokyo University of Education,Tokyo,Japan,Asian
85,Julian,Schwinger,1918-02-12,1994-07-16,USA,New York NY,male,1965,physics,Harvard University,Cambridge MA,USA,
86,Richard P.,Feynman,1918-05-11,1988-02-15,USA,New York NY,male,1965,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
87,Alfred,Kastler,1902-05-03,1984-01-07,France,Guebwiller,male,1966,physics,École Normale Supérieure,Paris,France,
88,Hans,Bethe,1906-07-02,2005-03-06,France,Strasbourg,male,1967,physics,Cornell University,Ithaca NY,USA,
89,Luis,Alvarez,1911-06-13,1988-09-01,USA,San Francisco CA,male,1968,physics,University of California,Berkeley CA,USA,
90,Murray,Gell-Mann,1929-09-15,2019-05-24,USA,New York NY,male,1969,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
91,Hannes,Alfvén,1908-05-30,1995-04-02,Sweden,Norrköping,male,1970,physics,Royal Institute of Technology,Stockholm,Sweden,
92,Louis,Néel,1904-11-22,2000-11-17,France,Lyon,male,1970,physics,University of Grenoble,Grenoble,France,
93,Dennis,Gabor,1900-06-05,1979-02-08,Hungary,Budapest,male,1971,physics,Imperial College,London,United Kingdom,
94,Leon N.,Cooper,1930-02-28,0000-00-00,USA,New York NY,male,1972,physics,Brown University,Providence RI,USA,
95,Robert,Schrieffer,1931-05-31,2019-07-27,USA,Oak Park IL,male,1972,physics,University of Pennsylvania,Philadelphia PA,USA,
96,Leo,Esaki,1925-03-12,0000-00-00,Japan,Osaka,male,1973,physics,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,Asian
97,Ivar,Giaever,1929-04-05,0000-00-00,Norway,Bergen,male,1973,physics,General Electric Company,Schenectady NY,USA,
98,Brian D.,Josephson,1940-01-04,0000-00-00,United Kingdom,Cardiff,male,1973,physics,University of Cambridge,Cambridge,United Kingdom,
99,Martin,Ryle,1918-09-27,1984-10-14,United Kingdom,Brighton,male,1974,physics,University of Cambridge,Cambridge,United Kingdom,
100,Antony,Hewish,1924-05-11,2021-09-13,United Kingdom,Fowey,male,1974,physics,University of Cambridge,Cambridge,United Kingdom,
101,Aage N.,Bohr,1922-06-19,2009-09-08,Denmark,Copenhagen,male,1975,physics,Niels Bohr Institute,Copenhagen,Denmark,
102,Ben R.,Mottelson,1926-07-09,2022-05-13,USA,Chicago IL,male,1975,physics,Nordita,Copenhagen,Denmark,
103,James,Rainwater,1917-12-09,1986-03-31,USA,Council ID,male,1975,physics,Columbia University,New York NY,USA,
104,Burton,Richter,1931-03-22,2018-07-18,USA,Brooklyn NY,male,1976,physics,Stanford Linear Accelerator Center,Stanford CA,USA,
105,Samuel C.C.,Ting,1936-01-27,0000-00-00,USA,Ann Arbor MI,male,1976,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Asian
106,Philip W.,Anderson,1923-12-13,2020-03-29,USA,Indianapolis IN,male,1977,physics,Bell Telephone Laboratories,Murray Hill NJ,USA,
107,Sir Nevill F.,Mott,1905-09-30,1996-08-08,United Kingdom,Leeds,male,1977,physics,University of Cambridge,Cambridge,United Kingdom,
108,John H.,Van Vleck,1899-03-13,1980-10-27,USA,Middletown CT,male,1977,physics,Harvard University,Cambridge MA,USA,
109,Pyotr,Kapitsa,1894-07-09,1984-04-08,Russia,Kronshtadt,male,1978,physics,Academy of Sciences,Moscow,USSR (now Russia),
110,Arno,Penzias,1933-04-26,2024-01-22,Germany,Munich,male,1978,physics,Bell Laboratories,Holmdel NJ,USA,
111,Robert Woodrow,Wilson,1936-01-10,0000-00-00,USA,Houston TX,male,1978,physics,Bell Laboratories,Holmdel NJ,USA,
112,Sheldon,Glashow,1932-12-05,0000-00-00,USA,New York NY,male,1979,physics,Harvard University Lyman Laboratory,Cambridge MA,USA,
113,Abdus,Salam,1926-01-29,1996-11-21,Pakistan,Jhang Maghiāna,male,1979,physics,International Centre for Theoretical Physics,Trieste,Italy,Asian
114,Steven,Weinberg,1933-05-03,2021-07-23,USA,New York NY,male,1979,physics,Harvard University,Cambridge MA,USA,
115,James,Cronin,1931-09-29,2016-08-25,USA,Chicago IL,male,1980,physics,University of Chicago,Chicago IL,USA,
116,Val,Fitch,1923-03-10,2015-02-05,USA,Merriman NE,male,1980,physics,Princeton University,Princeton NJ,USA,
117,Nicolaas,Bloembergen,1920-03-11,2017-09-05,the Netherlands,Dordrecht,male,1981,physics,Harvard University,Cambridge MA,USA,
118,Arthur L.,Schawlow,1921-05-05,1999-04-28,USA,Mount Vernon NY,male,1981,physics,Stanford University,Stanford CA,USA,
119,Kai M.,Siegbahn,1918-04-20,2007-07-20,Sweden,Lund,male,1981,physics,Uppsala University,Uppsala,Sweden,
120,Kenneth G.,Wilson,1936-06-08,2013-06-15,USA,Waltham MA,male,1982,physics,Cornell University,Ithaca NY,USA,
121,Subrahmanyan,Chandrasekhar,1910-10-19,1995-08-21,Pakistan,Lahore,male,1983,physics,University of Chicago,Chicago IL,USA,Asian
122,William A.,Fowler,1911-08-09,1995-03-14,USA,Pittsburgh PA,male,1983,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
123,Carlo,Rubbia,1934-03-31,0000-00-00,Italy,Gorizia,male,1984,physics,CERN,Geneva,Switzerland,
124,Simon,van der Meer,1925-11-24,2011-03-04,the Netherlands,the Hague,male,1984,physics,CERN,Geneva,Switzerland,
125,Klaus,von Klitzing,1943-06-28,0000-00-00,Poland,Schroda,male,1985,physics,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,
126,Ernst,Ruska,1906-12-25,1988-05-27,Germany,Heidelberg,male,1986,physics,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,
127,Gerd,Binnig,1947-07-20,0000-00-00,Germany,Frankfurt-on-the-Main,male,1986,physics,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,
128,Heinrich,Rohrer,1933-06-06,2013-05-16,Switzerland,Buchs,male,1986,physics,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,
129,J. Georg,Bednorz,1950-05-16,0000-00-00,Germany,Neuenkirchen,male,1987,physics,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,
130,K. Alex,Müller,1927-04-20,2023-01-09,Switzerland,Basel,male,1987,physics,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,
131,Leon M.,Lederman,1922-07-15,2018-10-03,USA,New York NY,male,1988,physics,Fermi National Accelerator Laboratory,Batavia IL,USA,
132,Melvin,Schwartz,1932-11-02,2006-08-28,USA,New York NY,male,1988,physics,Digital Pathways Inc.,Mountain View CA,USA,
133,Jack,Steinberger,1921-05-25,2020-12-12,Germany,Bad Kissingen,male,1988,physics,CERN,Geneva,Switzerland,
134,Norman F.,Ramsey,1915-08-27,2011-11-04,USA,Washington D.C.,male,1989,physics,Harvard University,Cambridge MA,USA,
135,Hans G.,Dehmelt,1922-09-09,2017-03-07,Germany,Görlitz,male,1989,physics,University of Washington,Seattle WA,USA,
136,Wolfgang,Paul,1913-08-10,1993-12-07,Germany,Lorenzkirch,male,1989,physics,University of Bonn,Bonn,Germany,
137,Jerome I.,Friedman,1930-03-28,0000-00-00,USA,Chicago IL,male,1990,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
138,Henry W.,Kendall,1926-12-09,1999-02-15,USA,Boston MA,male,1990,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
139,Richard E.,Taylor,1929-11-02,2018-02-22,Canada,Medicine Hat Alberta,male,1990,physics,Stanford University,Stanford CA,USA,
140,Pierre-Gilles,de Gennes,1932-10-24,2007-05-18,France,Paris,male,1991,physics,Collège de France,Paris,France,
141,Georges,Charpak,1924-08-01,2010-09-29,Poland,Dabrovica,male,1992,physics,École Supérieure de Physique et Chimie,Paris,France,
142,Russell A.,Hulse,1950-11-28,0000-00-00,USA,New York NY,male,1993,physics,Princeton University,Princeton NJ,USA,
143,Joseph H.,Taylor Jr.,1941-03-29,0000-00-00,USA,Philadelphia PA,male,1993,physics,Princeton University,Princeton NJ,USA,
144,Bertram N.,Brockhouse,1918-07-15,2003-10-13,Canada,Lethbridge Alberta,male,1994,physics,McMaster University,Hamilton Ontario,Canada,
145,Clifford G.,Shull,1915-09-23,2001-03-31,USA,Pittsburgh PA,male,1994,physics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
146,Martin L.,Perl,1927-06-24,2014-09-30,USA,New York NY,male,1995,physics,Stanford University,Stanford CA,USA,
147,Frederick,Reines,1918-03-16,1998-08-26,USA,Paterson NJ,male,1995,physics,University of California,Irvine CA,USA,
148,David M.,Lee,1931-01-20,0000-00-00,USA,Rye NY,male,1996,physics,Cornell University,Ithaca NY,USA,
149,Douglas D.,Osheroff,1945-08-01,0000-00-00,USA,Aberdeen WA,male,1996,physics,Stanford University,Stanford CA,USA,
150,Robert C.,Richardson,1937-06-26,2013-02-19,USA,Washington D.C.,male,1996,physics,Cornell University,Ithaca NY,USA,
151,Steven,Chu,1948-02-28,0000-00-00,USA,St. Louis MO,male,1997,physics,Stanford University,Stanford CA,USA,Asian
152,Claude,Cohen-Tannoudji,1933-04-01,0000-00-00,Algeria,Constantine,male,1997,physics,Collège de France,Paris,France,African
153,William D.,Phillips,1948-11-05,0000-00-00,USA,Wilkes-Barre PA,male,1997,physics,National Institute of Standards and Technology,Gaithersburg MD,USA,
154,Robert B.,Laughlin,1950-11-01,0000-00-00,USA,Visalia CA,male,1998,physics,Stanford University,Stanford CA,USA,
155,Horst L.,Störmer,1949-04-06,0000-00-00,Germany,Frankfurt-on-the-Main,male,1998,physics,Columbia University,New York NY,USA,
156,Daniel C.,Tsui,1939-02-28,0000-00-00,China,Henan,male,1998,physics,Princeton University,Princeton NJ,USA,Asian
157,Gerardus,'t Hooft,1946-07-05,0000-00-00,the Netherlands,Den Helder,male,1999,physics,Utrecht University,Utrecht,the Netherlands,
158,Martinus J.G.,Veltman,1931-06-27,2021-01-04,the Netherlands,Waalwijk,male,1999,physics,,,,
159,Jacobus H.,van 't Hoff,1852-08-30,1911-03-01,the Netherlands,Rotterdam,male,1901,chemistry,Berlin University,Berlin,Germany,
160,Emil,Fischer,1852-10-09,1919-07-15,Germany,Euskirchen,male,1902,chemistry,Berlin University,Berlin,Germany,
161,Svante,Arrhenius,1859-02-19,1927-10-02,Sweden,Vik,male,1903,chemistry,Stockholm University,Stockholm,Sweden,
162,Sir William,Ramsay,1852-10-02,1916-07-23,Scotland,Glasgow,male,1904,chemistry,University College,London,United Kingdom,
163,Adolf,von Baeyer,1835-10-31,1917-08-20,Germany,Berlin,male,1905,chemistry,Munich University,Munich,Germany,
164,Henri,Moissan,1852-09-28,1907-02-20,France,Paris,male,1906,chemistry,Sorbonne University,Paris,France,
165,Eduard,Buchner,1860-05-20,1917-08-13,Germany,Munich,male,1907,chemistry,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,
166,Ernest,Rutherford,1871-08-30,1937-10-19,New Zealand,Nelson,male,1908,chemistry,Victoria University,Manchester,United Kingdom,
167,Wilhelm,Ostwald,1853-09-02,1932-04-04,Latvia,Riga,male,1909,chemistry,Leipzig University,Leipzig,Germany,
168,Otto,Wallach,1847-03-27,1931-02-26,Russia,Kaliningrad,male,1910,chemistry,Goettingen University,Göttingen,Germany,
169,Victor,Grignard,1871-05-06,1935-12-13,France,Cherbourg,male,1912,chemistry,Nancy University,Nancy,France,
170,Paul,Sabatier,1854-11-05,1941-08-14,France,Carcassonne,male,1912,chemistry,Toulouse University,Toulouse,France,
171,Alfred,Werner,1866-12-12,1919-11-15,France,Mulhouse,male,1913,chemistry,University of Zurich,Zurich,Switzerland,
172,Theodore W.,Richards,1868-01-31,1928-04-02,USA,Germantown PA,male,1914,chemistry,Harvard University,Cambridge MA,USA,
173,Richard,Willstätter,1872-08-13,1942-08-03,Germany,Karlsruhe,male,1915,chemistry,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,
174,Fritz,Haber,1868-12-09,1934-01-29,Poland,Wroclaw,male,1918,chemistry,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,
175,Walther,Nernst,1864-06-25,1941-11-18,Poland,Wąbrzeźno,male,1920,chemistry,Berlin University,Berlin,Germany,
176,Frederick,Soddy,1877-09-02,1956-09-22,United Kingdom,Eastbourne,male,1921,chemistry,University of Oxford,Oxford,United Kingdom,
177,Francis W.,Aston,1877-09-01,1945-11-20,United Kingdom,Harborne,male,1922,chemistry,University of Cambridge,Cambridge,United Kingdom,
178,Fritz,Pregl,1869-09-03,1930-12-13,Slovenia,Ljubljana,male,1923,chemistry,Graz University,Graz,Austria,
179,Richard,Zsigmondy,1865-04-01,1929-09-24,Austria,Vienna,male,1925,chemistry,Goettingen University,Göttingen,Germany,
180,The,Svedberg,1884-08-30,1971-02-25,Sweden,Fleräng,male,1926,chemistry,Uppsala University,Uppsala,Sweden,
181,Heinrich,Wieland,1877-06-04,1957-08-05,Germany,Pforzheim,male,1927,chemistry,Munich University,Munich,Germany,
182,Adolf,Windaus,1876-12-25,1959-06-09,Germany,Berlin,male,1928,chemistry,Goettingen University,Göttingen,Germany,
183,Arthur,Harden,1865-10-12,1940-06-17,United Kingdom,Manchester,male,1929,chemistry,London University,London,United Kingdom,
184,Hans,von Euler-Chelpin,1873-02-15,1964-11-06,Germany,Augsburg,male,1929,chemistry,Stockholm University,Stockholm,Sweden,
185,Hans,Fischer,1881-07-27,1945-03-31,Germany,Hoechst,male,1930,chemistry,Technische Hochschule (Institute of Technology),Munich,Germany,
186,Carl,Bosch,1874-08-27,1940-04-26,Germany,Cologne,male,1931,chemistry,University of Heidelberg,Heidelberg,Germany,
187,Friedrich,Bergius,1884-10-11,1949-03-30,Poland,Goldschmieden near Breslau,male,1931,chemistry,University of Heidelberg,Heidelberg,Germany,
